Frequency [D/H],Data Type,Observation time UTC,Data Source,Radiation [MJ/m2],PERIOD [hrs]
D,Global,2017-03-31T10:59:00Z,D,16.23,24
D,Global,2017-04-01T10:59:00Z,D,15.4,24
D,Global,2017-04-02T11:59:00Z,D,12.52,24
D,Global,2017-04-03T11:59:00Z,D,10.9,24
D,Global,2017-04-04T11:59:00Z,D,1.98,24
D,Global,2017-04-05T11:59:00Z,D,1.97,24
D,Global,2017-04-06T11:59:00Z,D,12.59,24
D,Global,2017-04-07T11:59:00Z,D,14.78,24
D,Global,2017-04-08T11:59:00Z,D,16.76,24
D,Global,2017-04-09T11:59:00Z,D,13.28,24
D,Global,2017-04-10T11:59:00Z,D,11.97,24
D,Global,2017-04-11T11:59:00Z,D,4.76,24
D,Global,2017-04-12T11:59:00Z,D,2.34,24
D,Global,2017-04-13T11:59:00Z,D,1.58,24
D,Global,2017-04-14T11:59:00Z,D,9.41,24
D,Global,2017-04-15T11:59:00Z,D,10.61,24
D,Global,2017-04-16T11:59:00Z,D,10.92,24
D,Global,2017-04-17T11:59:00Z,D,9.33,24
D,Global,2017-04-18T11:59:00Z,D,13.13,24
D,Global,2017-04-19T11:59:00Z,D,12.69,24
D,Global,2017-04-20T11:59:00Z,D,13.92,24
D,Global,2017-04-21T11:59:00Z,D,14.57,24
D,Global,2017-04-22T11:59:00Z,D,14.44,24
D,Global,2017-04-23T11:59:00Z,D,9.08,24
D,Global,2017-04-24T11:59:00Z,D,11.86,24
D,Global,2017-04-25T11:59:00Z,D,12.43,24
D,Global,2017-04-26T11:59:00Z,D,12.99,24
D,Global,2017-04-27T11:59:00Z,D,12.06,24
D,Global,2017-04-28T11:59:00Z,D,12.24,24
D,Global,2017-04-29T11:59:00Z,D,2.33,24
D,Global,2017-04-30T11:59:00Z,D,7.04,24
D,Global,2017-05-01T11:59:00Z,D,12.96,24
D,Global,2017-05-02T11:59:00Z,D,12.88,24
D,Global,2017-05-03T11:59:00Z,D,9.58,24
D,Global,2017-05-04T11:59:00Z,D,11.77,24
D,Global,2017-05-05T11:59:00Z,D,12.59,24
D,Global,2017-05-06T11:59:00Z,D,12.32,24
D,Global,2017-05-07T11:59:00Z,D,8.71,24
D,Global,2017-05-08T11:59:00Z,D,6.17,24
D,Global,2017-05-09T11:59:00Z,D,6.84,24
D,Global,2017-05-10T11:59:00Z,D,8.97,24
D,Global,2017-05-11T11:59:00Z,D,1.5,24
D,Global,2017-05-12T11:59:00Z,D,1.61,24
D,Global,2017-05-13T11:59:00Z,D,11.44,24
D,Global,2017-05-14T11:59:00Z,D,11.65,24
D,Global,2017-05-15T11:59:00Z,D,6.94,24
D,Global,2017-05-16T11:59:00Z,D,4.67,24
D,Global,2017-05-17T11:59:00Z,D,2.58,24
D,Global,2017-05-18T11:59:00Z,D,5.93,24
D,Global,2017-05-19T11:59:00Z,D,9.58,24
D,Global,2017-05-20T11:59:00Z,D,6.82,24
D,Global,2017-05-21T11:59:00Z,D,9.69,24
D,Global,2017-05-22T11:59:00Z,D,10.8,24
D,Global,2017-05-23T11:59:00Z,D,6.88,24
D,Global,2017-05-24T11:59:00Z,D,2.27,24
D,Global,2017-05-25T11:59:00Z,D,10.51,24
D,Global,2017-05-26T11:59:00Z,D,6.47,24
D,Global,2017-05-27T11:59:00Z,D,2.15,24
D,Global,2017-05-28T11:59:00Z,D,8,24
D,Global,2017-05-29T11:59:00Z,D,6.74,24
D,Global,2017-05-30T11:59:00Z,D,4.28,24
D,Global,2017-05-31T11:59:00Z,D,6.88,24
D,Global,2017-06-01T11:59:00Z,D,8.27,24
D,Global,2017-06-02T11:59:00Z,D,7.37,24
D,Global,2017-06-03T11:59:00Z,D,7.7,24
D,Global,2017-06-04T11:59:00Z,D,9.54,24
D,Global,2017-06-05T11:59:00Z,D,4.01,24
D,Global,2017-06-06T11:59:00Z,D,7.27,24
D,Global,2017-06-07T11:59:00Z,D,9.34,24
