Date,Temp_C,Temp_min,Temp_max,HumRel_mean,n_hours,RadSWD_mean,Precip_mm,Wind_Spd_ms
2022-05-25,9.241666666666667,5.2,15.5,79.16666666666667,24,120.94907407407408,0,3.09
2022-05-26,7.820833333333333,2.7,14.6,75.33333333333333,24,100.34722222222223,0,2.25
2022-05-27,6.029166666666667,1.3,12.7,85.83333333333333,24,123.95833333333333,0,2.08
2022-05-28,8.9,5.1,15.1,87.375,24,99.76851851851852,0,1.16
2022-05-29,13.595833333333333,12.2,15.7,92.75,24,48.032407407407405,18.6,3.85
2022-05-30,13.516666666666667,10.5,15.9,98.33333333333333,24,37.15277777777778,69.4,2.72
2022-05-31,14.725,13.9,16.2,93.04166666666667,24,76.38888888888889,36.6,3.8
2022-06-01,14.741666666666667,12.6,17.8,89.25,24,48.49537037037037,0.2,3.44
2022-06-02,11.608333333333333,9.3,14.6,92.16666666666667,24,40.85648148148148,9.8,2.33
2022-06-03,9.941666666666666,7.9,13.4,91.83333333333333,24,46.875,17.6,1.78
2022-06-04,6.0875,1.1,13.6,87.625,24,101.62037037037037,0,2.14
2022-06-05,10.383333333333333,7.9,11.7,86.125,24,49.65277777777778,1.4,1.66
2022-06-06,12.445833333333333,11.1,14.2,98.79166666666667,24,27.083333333333336,21.8,1.77
2022-06-07,14.05,11.8,16.4,93.25,24,87.5,35.2,3.11
2022-06-08,11.720833333333333,7.9,16,89.5,24,79.16666666666667,3.4,1.77
2022-06-09,11.366666666666667,9.1,14.4,85.20833333333333,24,40.97222222222222,4.2,3.77
2022-06-10,11.829166666666666,10.8,13.7,86.79166666666667,24,45.138888888888886,20.2,3.63
2022-06-11,10.720833333333333,7.9,13.2,92.79166666666667,24,40.0462962962963,20.4,2.84
2022-06-12,11.533333333333333,9.5,13.6,84.66666666666667,24,80.43981481481481,38,4.92
2022-06-13,8.183333333333334,6.2,10.9,85.33333333333333,24,62.26851851851852,24.6,3.95
2022-06-14,10.983333333333333,9.7,12.6,80.79166666666667,24,84.25925925925925,0.6,3.47
2022-06-15,9.983333333333333,6.1,13.3,85.79166666666667,24,94.44444444444444,0.4,2.66
2022-06-16,10.5625,7.4,13.8,87.79166666666667,24,73.8425925925926,0.2,2.18
2022-06-17,10.941666666666666,8.5,14.1,94.83333333333333,24,63.657407407407405,0.2,0.9
2022-06-18,11.2875,8.9,12.8,94.875,24,53.81944444444444,34.6,1.66
2022-06-19,8.516666666666667,6.4,12.4,72.70833333333333,24,65.74074074074075,0,3.7
2022-06-20,6.054166666666666,2.8,10.1,72.75,24,71.99074074074075,0,3.63
